Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 123.0.0.0,,,03-04-2024 12:00:07,03-04-2024 12:00:26,19.008s,PASSED
,,,,,,,
Test Cases/Register,Chrome 123.0.0.0,,,03-04-2024 12:00:07,03-04-2024 12:00:25,17.629s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 12:00:08,03-04-2024 12:00:10,2.395s,PASSED
"navigateToUrl(""https://parabank.parasoft.com/parabank/index.htm"")",Chrome 123.0.0.0,,,03-04-2024 12:00:10,03-04-2024 12:00:14,3.963s,PASSED
"click(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Welcome  Online Banking/a_Register""))",Chrome 123.0.0.0,,,03-04-2024 12:00:14,03-04-2024 12:00:16,1.879s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_First Name_customer.firstName""), FirstName)",Chrome 123.0.0.0,,,03-04-2024 12:00:16,03-04-2024 12:00:17,0.874s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Last Name_customer.lastName""), LastName)",Chrome 123.0.0.0,,,03-04-2024 12:00:17,03-04-2024 12:00:18,0.693s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Address_customer.address.street""), Address)",Chrome 123.0.0.0,,,03-04-2024 12:00:18,03-04-2024 12:00:18,0.712s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_City_customer.address.city""), City)",Chrome 123.0.0.0,,,03-04-2024 12:00:18,03-04-2024 12:00:19,0.678s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_State_customer.address.state""), State)",Chrome 123.0.0.0,,,03-04-2024 12:00:19,03-04-2024 12:00:20,0.701s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Zip Code_customer.address.zipCode""), ZipCode)",Chrome 123.0.0.0,,,03-04-2024 12:00:20,03-04-2024 12:00:20,0.684s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Phone_customer.phoneNumber""), Phone)",Chrome 123.0.0.0,,,03-04-2024 12:00:20,03-04-2024 12:00:21,0.699s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_SSN_customer.ssn""), SSN)",Chrome 123.0.0.0,,,03-04-2024 12:00:21,03-04-2024 12:00:22,0.719s,PASSED
"setText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Username_customer.username""), Username)",Chrome 123.0.0.0,,,03-04-2024 12:00:22,03-04-2024 12:00:23,0.709s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Password_customer.password""), ""tzH6RvlfSTg="")",Chrome 123.0.0.0,,,03-04-2024 12:00:23,03-04-2024 12:00:23,0.472s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Confirm_repeatedPassword""), ""tzH6RvlfSTg="")",Chrome 123.0.0.0,,,03-04-2024 12:00:23,03-04-2024 12:00:23,0.455s,PASSED
"click(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Register for Free Online Acc_dbf84b/input_Confirm_button""))",Chrome 123.0.0.0,,,03-04-2024 12:00:23,03-04-2024 12:00:25,1.477s,PASSED
,,,,,,,
Test Cases/Logout,Chrome 123.0.0.0,,,03-04-2024 12:00:25,03-04-2024 12:00:26,1.017s,PASSED
"click(findTestObject(""Object Repository/Parabank - Register/Page_ParaBank  Customer Created/a_Log Out""))",Chrome 123.0.0.0,,,03-04-2024 12:00:25,03-04-2024 12:00:26,0.944s,PASSED
